FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
130,,1926,Person,1926-130,354,linens,,2.00705E+13,19260809,digitised,JA70003000,,1963663,3540685.882,9291.5069,,
27a,,1926,Person,1926-27a,34.8,linens,,2.00705E+13,19260417,digitised,JA70003000,,1963744,348991.4669,2675.5935,,
27a,,1926,Person,1926-27a,34.9,linens,,2.00705E+13,19260402,assumed_shape,JA70003000,,1963745,349639.494,2392.0968,,
28,,1926,Person,1926-28,333.5,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963746,3335711.684,9902.0207,,
28,,1926,Person,1926-28,105.3,linens,,2.00705E+13,19260512,digitised,JA70003000,,1963747,1053294.168,5919.6135,,
28,,1926,Person,1926-28,11.8,linens,,2.00705E+13,19260512,digitised,JA70003000,,1963748,118378.0699,2447.1949,,
282,,1926,Person,1926-282,46.4,linens,,2.00705E+13,19260608,digitised,JA70003000,,1963749,464856.2626,3588.3057,,
282,,1926,Person,1926-282,195.5,linens,,2.00705E+13,19260806,digitised,JA70003000,,1963750,1955877.799,6647.8353,,
77,,1925,Person,1925-77,2579.6,linens,,2.00705E+13,19250715,digitised,JA70003000,,1963512,25796236.46,29636.3977,,
770,,1925,Lightning,1925-770,178.9,linens,,2.00705E+13,19250803,digitised,JA70003000,,1963513,1789923.078,5704.6308,,
773,,1925,Lightning,1925-773,151.2,linens,,2.00705E+13,19250801,digitised,JA70003000,,1963514,1512385.157,5706.2482,,
774a,,1925,Person,1925-774a,11003.7,linens,,2.00705E+13,19250801,assumed_shape,JA70003000,,1963515,110037209.8,80733.8796,,
92,,1925,Lightning,1925-92,374.7,linens,,2.00705E+13,19250809,digitised,JA70003000,,1963587,3747324.329,9605.4641,,
92,,1925,Person,1925-92,14.1,linens,,2.00705E+13,19250628,digitised,JA70003000,,1963588,141365.0432,1619.4002,,
92,,1925,Person,1925-92,112.8,linens,,2.00705E+13,19250517,digitised,JA70003000,,1963589,1128709.305,5882.942,,
922,,1925,Lightning,1925-922,95.3,linens,,2.00705E+13,19250823,digitised,JA70003000,,1963590,953401.7867,3838.9225,,
131,,1926,Lightning,1926-131,188.4,linens,,2.00705E+13,19260806,digitised,JA70003000,,1963664,1884310.575,6773.5591,,
131,,1926,Person,1926-131,52,linens,,2.00705E+13,19260812,digitised,JA70003000,,1963665,520664.6079,4274.2999,,
132,,1926,Person,1926-132,17.3,linens,,2.00705E+13,19260704,digitised,JA70003000,,1963666,173489.5146,1906.5471,,
289,,1926,Person,1926-289,32.6,linens,,2.00705E+13,19260807,assumed_shape,JA70003000,,1963751,326747.0064,2318.7531,,
29,,1926,Person,1926-29,49.9,linens,,2.00705E+13,19260512,digitised,JA70003000,,1963752,499407.1369,4163.6027,,
2a,,1926,Person,1926-2a,14.8,linens,,2.00705E+13,19260502,digitised,JA70003000,,1963753,148103.5201,1495.1275,,
30,,1926,Person,1926-30,37.1,linens,,2.00705E+13,19260512,digitised,JA70003000,,1963754,371488.3634,3941.4326,,
30,,1926,Person,1926-30,354.9,linens,,2.00705E+13,19260428,assumed_shape,JA70003000,,1963755,3549503.484,8907.0954,,
300,,1926,Person,1926-300,196.9,linens,,2.00705E+13,19260728,digitised,JA70003000,,1963756,1969449.157,6295.9495,,
304a,,1926,Person,1926-304a,15.5,linens,,2.00705E+13,19260506,digitised,JA70003000,,1963757,155235.1479,1763.7377,,
777,,1925,Lightning,1925-777,546.3,linens,,2.00705E+13,19250803,digitised,JA70003000,,1963516,5463826.54,11293.7841,,
778,,1925,Lightning,1925-778,500.8,linens,,2.00705E+13,19250801,digitised,JA70003000,,1963517,5008092.8,12731.8428,,
926,,1925,Lightning,1925-926,212.9,linens,,2.00705E+13,19250729,digitised,JA70003000,,1963591,2129832.371,6418.537,,
928,,1925,Lightning,1925-928,626.4,linens,,2.00705E+13,19250801,digitised,JA70003000,,1963592,6264894.949,12308.6397,,
929,,1925,Lightning,1925-929,229,linens,,2.00705E+13,19250802,digitised,JA70003000,,1963593,2290938.987,6213.7542,,
93,,1925,Person,1925-93,52.2,linens,,2.00705E+13,19250709,digitised,JA70003000,,1963594,522864.8881,3214.6931,,
133,,1926,Person,1926-133,494.2,linens,,2.00705E+13,19260707,digitised,JA70003000,,1963667,4942139.83,20285.4064,,
134,,1926,Lightning,1926-134,974.9,linens,,2.00705E+13,19260723,digitised,JA70003000,,1963668,9749155.405,12566.758,,
134,,1926,Person,1926-134,19.1,linens,,2.00705E+13,19260708,digitised,JA70003000,,1963669,191523.7576,1851.0662,,
135,,1926,Person,1926-135,26.3,linens,,2.00705E+13,19260801,digitised,JA70003000,,1963670,263949.6525,1981.5002,,
305,,1926,Person,1926-305,44.5,linens,,2.00705E+13,19260810,digitised,JA70003000,,1963758,445905.5933,3206.1563,,
31,,1926,Person,1926-31,144.9,linens,,2.00705E+13,19260513,digitised,JA70003000,,1963759,1449309.97,4802.8775,,
314,,1926,Person,1926-314,912.3,linens,,2.00705E+13,19260628,digitised,JA70003000,,1963760,9123143.386,14182.8471,,
322,,1926,Person,1926-322,271.4,linens,,2.00705E+13,19260807,assumed_shape,JA70003000,,1963761,2714946.861,7378.9388,,
323,,1926,Person,1926-323,37.9,linens,,2.00705E+13,19260807,digitised,JA70003000,,1963762,379054.8539,2516.31,,
345,,1926,Person,1926-345,8239.7,linens,,2.00705E+13,19260629,digitised,JA70003000,,1963763,82397330.61,45952.6227,,
35,,1926,Person,1926-35,34,linens,,2.00705E+13,19260430,digitised,JA70003000,,1963764,340238.6083,2809.9284,,
78,,1925,Person,1925-78,342,linens,,2.00705E+13,19250624,digitised,JA70003000,,1963518,3420672.515,9028.8851,,
780,,1925,Lightning,1925-780,15.8,linens,,2.00705E+13,19250807,digitised,JA70003000,,1963519,158598.6151,1494.423,,
781,,1925,Lightning,1925-781,836.4,linens,,2.00705E+13,19250808,digitised,JA70003000,,1963520,8364897.227,16065.7283,,
786,,1925,Lightning,1925-786,100.6,linens,,2.00705E+13,19250807,digitised,JA70003000,,1963521,1006559.091,4317.7409,,
930,,1925,Lightning,1925-930,147.8,linens,,2.00705E+13,19250802,digitised,JA70003000,,1963595,1478892.187,5065.1093,,
93a,,1925,Person,1925-93a,1820.1,linens,,2.00705E+13,19250628,digitised,JA70003000,,1963596,18201106.95,21059.9059,,
945,,1925,Lightning,1925-945,732.7,linens,,2.00705E+13,19250825,digitised,JA70003000,,1963597,7327189.803,16079.6251,,
946,,1925,Lightning,1925-946,53.9,linens,,2.00705E+13,19250828,digitised,JA70003000,,1963598,539908.6892,2760.9762,,
136a,,1926,Person,1926-136a,375.3,linens,,2.00705E+13,19260810,digitised,JA70003000,,1963671,3753511.332,8944.0239,,
137a,,1926,Person,1926-137a,534,linens,,2.00705E+13,19260808,digitised,JA70003000,,1963672,5340169.83,8454.6286,,
138,,1926,Person,1926-138,107.3,linens,,2.00705E+13,19260804,digitised,JA70003000,,1963673,1073189.649,4145.6325,,
139,,1926,Person,1926-139,513.5,linens,,2.00705E+13,19260807,digitised,JA70003000,,1963674,5135003.369,11081.8959,,
35,,1926,Person,1926-35,1802,linens,,2.00705E+13,19260610,digitised,JA70003000,,1963765,18020069.09,21990.9565,,
350,,1926,Person,1926-350,118.3,linens,,2.00705E+13,19260810,digitised,JA70003000,,1963766,1183670.852,4642.9685,,
355,,1926,Person,1926-355,301.4,linens,,2.00705E+13,19260812,digitised,JA70003000,,1963767,3014615.038,7484.1285,,
386,,1926,Lightning,1926-386,71.9,linens,,2.00705E+13,19260708,digitised,JA70003000,,1963768,719564.1652,3415.6517,,
387a,,1926,Lightning,1926-387a,34.4,linens,,2.00705E+13,19260708,digitised,JA70003000,,1963769,344719.2163,2917.7313,,
39,,1926,Lightning,1926-39,0.2,linens,,2.00705E+13,19260707,digitised,JA70003000,,1963770,2575.1089,209.6248,,
788,,1925,Lightning,1925-788,951.7,linens,,2.00705E+13,19250801,assumed_shape,JA70003000,,1963522,9517690.739,13306.0546,,
789,,1925,Lightning,1925-789,2051.9,linens,,2.00705E+13,19250728,digitised,JA70003000,,1963523,20519567,19711.2698,,
79,,1925,Person,1925-79,20.7,linens,,2.00705E+13,19250517,digitised,JA70003000,,1963524,207658.5834,2387.5108,,
79,,1925,Person,1925-79,4,linens,,2.00705E+13,19250517,digitised,JA70003000,,1963525,40785.4051,829.0161,,
792,,1925,Lightning,1925-792,889.9,linens,,2.00705E+13,19250808,digitised,JA70003000,,1963526,8899390.621,12324.6575,,
95,,1925,Person,1925-95,1574.8,linens,,2.00705E+13,19250627,digitised,JA70003000,,1963599,15748751.66,19834.0608,,
96,,1925,Person,1925-96,542.1,linens,,2.00705E+13,19250625,digitised,JA70003000,,1963600,5421946.743,14370.3965,,
96,,1925,Person,1925-96,42.7,linens,,2.00705E+13,19250713,digitised,JA70003000,,1963601,427426.7251,2478.6402,,
14,,1926,Person,1926-14,355.2,linens,,2.00705E+13,19260415,digitised,JA70003000,,1963675,3552953.434,11374.0208,,
140,,1926,Person,1926-140,54.9,linens,,2.00705E+13,19260815,digitised,JA70003000,,1963676,549253.6384,3017.3834,,
141,,1926,Person,1926-141,754,linens,,2.00705E+13,19260709,digitised,JA70003000,,1963677,7540783.788,11759.1102,,
142,,1926,Lightning,1926-142,90.2,linens,,2.00705E+13,19260812,digitised,JA70003000,,1963678,902427.2694,3941.3668,,
148,,1926,Lightning,1926-148,55.8,linens,,2.00705E+13,19260824,digitised,JA70003000,,1963679,558117.4473,3060.7235,,
39,,1926,Person,1926-39,179.8,linens,,2.00705E+13,19260428,digitised,JA70003000,,1963771,1798313.515,5584.5081,,
39,,1926,Lightning,1926-39,1564.5,linens,,2.00705E+13,19260707,digitised,JA70003000,,1963772,15645343.11,27386.5565,,
394,,1926,Person,1926-394,66.6,linens,,2.00705E+13,19260703,digitised,JA70003000,,1963773,666779.8503,3267.9648,,
793,,1925,Lightning,1925-793,106.7,linens,,2.00705E+13,19250807,digitised,JA70003000,,1963527,1067662.619,9594.0755,,
793,,1925,Lightning,1925-793,251.8,linens,,2.00705E+13,19250807,digitised,JA70003000,,1963528,2518617.9,11968.7479,,
797,,1925,Person,1925-797,45,linens,,2.00705E+13,19250809,digitised,JA70003000,,1963529,450210.8813,2806.6175,,
96,,1925,Person,1925-96,19.7,linens,,2.00705E+13,19250517,digitised,JA70003000,,1963602,197620.3762,2610.7923,,
97,,1925,Person,1925-97,42.8,linens,,2.00705E+13,19250717,digitised,JA70003000,,1963603,428495.469,2382.561,,
97,,1925,Person,1925-97,41.3,linens,,2.00705E+13,19250515,digitised,JA70003000,,1963604,413358.2291,3170.5096,,
97,,1925,Person,1925-97,35.1,linens,,2.00705E+13,19250504,assumed_shape,JA70003000,,1963605,351895.7239,3166.6918,,
977,,1925,Lightning,1925-977,346.7,linens,,2.00705E+13,19250908,digitised,JA70003000,,1963606,3467468.453,8173.5578,,
978,,1925,Person,1925-978,54.7,linens,,2.00705E+13,19250908,digitised,JA70003000,,1963607,547042.7702,2802.7851,,
97a,,1925,Person,1925-97a,833.7,linens,,2.00705E+13,19250622,digitised,JA70003000,,1963608,8337025.138,12412.0917,,
15,,1926,Person,1926-15,51.7,linens,,2.00705E+13,19260510,digitised,JA70003000,,1963680,517726.2848,2738.6937,,
15,,1926,Person,1926-15,18,linens,,2.00705E+13,19260416,digitised,JA70003000,,1963681,180912.8108,1874.4791,,
151,,1926,Person,1926-151,52.4,linens,,2.00705E+13,19260429,digitised,JA70003000,,1963682,524503.4666,4992.8233,,
152,,1926,Person,1926-152,222,linens,,2.00705E+13,19260804,digitised,JA70003000,,1963683,2220573.149,5681.9182,,
153,,1926,Person,1926-153,374.9,linens,,2.00705E+13,19260513,digitised,JA70003000,,1963684,3749394.045,10545.3115,,
153a,,1926,Person,1926-153a,70.4,linens,,2.00705E+13,19260814,digitised,JA70003000,,1963685,704866.8989,3184.458,,
395,,1926,Lightning,1926-395,2180,linens,,2.00705E+13,19260708,digitised,JA70003000,,1963774,21800663.59,19112.5164,,
39b,,1926,Person,1926-39b,166,linens,,2.00705E+13,19260426,digitised,JA70003000,,1963775,1660892.118,7253.7772,,
404,,1926,Person,1926-404,81.8,linens,,2.00705E+13,19260907,digitised,JA70003000,,1963776,818129.7442,4359.6562,,
405,,1926,Person,1926-405,12,linens,,2.00705E+13,19260908,digitised,JA70003000,,1963777,120301.6725,1581.1228,,
408,,1926,Person,1926-408,18.6,linens,,2.00705E+13,19260911,digitised,JA70003000,,1963778,186040.8863,1849.6385,,
799,,1925,Lightning,1925-799,3363,linens,,2.00705E+13,19250717,assumed_shape,JA70003000,,1963530,33630024.17,35239.2472,,
8,,1925,Person,Aug-25,353.1,linens,,2.00705E+13,19250510,digitised,JA70003000,,1963531,3531932.314,7853.1234,,
801,,1925,Lightning,1925-801,66.6,linens,,2.00705E+13,19250802,digitised,JA70003000,,1963532,666432.7467,3700.9872,,
97a,,1925,Person,1925-97a,1079,linens,,2.00705E+13,19250622,digitised,JA70003000,,1963609,10790045.29,16866.5603,,
98,,1925,Person,1925-98,24.9,linens,,2.00705E+13,19250622,digitised,JA70003000,,1963610,249312.8704,2352.5515,,
989,,1925,Person,1925-989,409,linens,,2.00705E+13,19250914,digitised,JA70003000,,1963611,4090567.25,9826.6606,,
99,,1925,Person,1925-99,412.2,linens,,2.00705E+13,19250626,digitised,JA70003000,,1963612,4122140.901,8059.4032,,
156,,1926,Person,1926-156,218.5,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963686,2185307.168,6515.7195,,
156,,1926,Lightning,1926-156,10.9,linens,,2.00705E+13,19260901,digitised,JA70003000,,1963687,109318.1317,1287.233,,
158,,1926,Person,1926-158,1499.1,linens,,2.00705E+13,19260712,assumed_shape,JA70003000,,1963688,14991980.9,20471.8634,,
16,,1926,Person,1926-16,67.1,linens,,2.00705E+13,19260512,digitised,JA70003000,,1963689,671136.6446,3221.6192,,
161,,1926,Person,1926-161,20.7,linens,,2.00705E+13,19260826,digitised,JA70003000,,1963690,207797.7526,1912.0912,,
162,,1926,Person,1926-162,40.9,linens,,2.00705E+13,19260902,digitised,JA70003000,,1963691,409571.0317,2440.6275,,
409,,1926,Lightning,1926-409,86.5,linens,,2.00705E+13,19260706,digitised,JA70003000,,1963779,865599.9449,3636.3614,,
411,,1926,Person,1926-411,276.3,linens,,2.00705E+13,19260911,digitised,JA70003000,,1963780,2763417.724,6743.7003,,
42,,1926,Person,1926-42,2866.9,linens,,2.00705E+13,19260630,digitised,JA70003000,,1963781,28669178.07,24076.677,,
426,,1926,Person,1926-426,44.7,linens,,2.00705E+13,19260927,digitised,JA70003000,,1963782,447737.5983,3386.1357,,
804,,1925,Lightning,1925-804,946.1,linens,,2.00705E+13,19250717,assumed_shape,JA70003000,,1963533,9461003.322,14167.2222,,
805,,1925,Lightning,1925-805,433.1,linens,,2.00705E+13,19250808,digitised,JA70003000,,1963534,4331433.217,12614.1839,,
806,,1925,Lightning,1925-806,939.2,linens,,2.00705E+13,19250809,assumed_shape,JA70003000,,1963535,9392250.005,12961.8432,,
808,,1925,Lightning,1925-808,78.9,linens,,2.00705E+13,19250810,digitised,JA70003000,,1963536,789608.357,3290.3153,,
99,,1925,Lightning,1925-99,215,linens,,2.00705E+13,19250810,digitised,JA70003000,,1963613,2150150.932,6310.131,,
99,,1925,Person,1925-99,34172.4,linens,,2.00705E+13,19250626,digitised,JA70003000,,1963614,341724832.7,100532.4637,,
990,,1925,Person,1925-990,337.3,linens,,2.00705E+13,19250813,assumed_shape,JA70003000,,1963615,3373158.255,6756.4264,,
995,,1925,Person,1925-995,159.3,linens,,2.00705E+13,19250917,digitised,JA70003000,,1963616,1593441.587,9762.5066,,
996,,1925,Person,1925-996,11.9,linens,,2.00705E+13,19250425,digitised,JA70003000,,1963617,119186.1626,1486.7592,,
9a,,1925,Person,1925-9a,19.2,linens,,2.00705E+13,19250510,digitised,JA70003000,,1963618,192961.6956,1664.2717,,
1,,1926,Person,Jan-26,23.7,linens,,2.00705E+13,19260401,digitised,JA70003000,,1963619,237885.386,1867.9213,,
1002,,1926,Lightning,1926-1002,203.6,linens,,2.00705E+13,19260812,digitised,JA70003000,,1963620,2036526.4,6298.4258,,
165,,1926,Person,1926-165,1923.1,linens,,2.00705E+13,19260903,digitised,JA70003000,,1963692,19231896.54,20197.5248,,
166,,1926,Person,1926-166,124.2,linens,,2.00705E+13,19260523,digitised,JA70003000,,1963693,1242231.533,4347.5336,,
167,,1926,Person,1926-167,45.9,linens,,2.00705E+13,19260524,digitised,JA70003000,,1963694,459502.1298,2893.9111,,
167,,1926,Person,1926-167,1603.6,linens,,2.00705E+13,19260712,assumed_shape,JA70003000,,1963695,16036726.52,17470.2025,,
426,,1926,Person,1926-426,60.3,linens,,2.00705E+13,19260810,digitised,JA70003000,,1963783,603968.1524,3914.2972,,
428,,1926,Person,1926-428,401.4,linens,,2.00705E+13,19260911,assumed_shape,JA70003000,,1963784,4014000.142,8474.3131,,
43,,1926,Person,1926-43,173.3,linens,,2.00705E+13,19260715,digitised,JA70003000,,1963785,1733793.03,4891.2282,,
43,,1926,Person,1926-43,108.4,linens,,2.00705E+13,19260428,digitised,JA70003000,,1963786,1084011.52,6175.935,,
438,,1926,Lightning,1926-438,570.6,linens,,2.00705E+13,19260710,assumed_shape,JA70003000,,1963787,5706497.651,10694.4299,,
81,,1925,Person,1925-81,28.6,linens,,2.00705E+13,19250628,digitised,JA70003000,,1963537,286846.9851,2328.6164,,
81,,1925,Person,1925-81,10.6,linens,,2.00705E+13,19250628,digitised,JA70003000,,1963538,106186.3463,1599.1595,,
81,,1925,Person,1925-81,56.4,linens,,2.00705E+13,19250716,digitised,JA70003000,,1963539,564152.7204,2925.4645,,
814a,,1925,Lightning,1925-814a,89.3,linens,,2.00705E+13,19250815,assumed_shape,JA70003000,,1963540,893246.4649,3591.6005,,
816,,1925,Lightning,1925-816,297.3,linens,,2.00705E+13,19250810,digitised,JA70003000,,1963541,2973351.543,7566.5221,,
817,,1925,Person,1925-817,52.2,linens,,2.00705E+13,19250810,digitised,JA70003000,,1963542,522173.9177,3182.031,,
821,,1925,Lightning,1925-821,64.6,linens,,2.00705E+13,19250814,assumed_shape,JA70003000,,1963543,646715.0322,3152.378,,
1007,,1926,Lightning,1926-1007,14.6,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963621,146984.2061,1450.4473,,
1009,,1926,Lightning,1926-1009,26.1,linens,,2.00705E+13,19260714,digitised,JA70003000,,1963622,261401.0628,1989.5313,,
101,,1926,Lightning,1926-101,111,linens,,2.00705E+13,19260808,digitised,JA70003000,,1963623,1110384.209,4214.3953,,
101,,1926,Lightning,1926-101,30.4,linens,,2.00705E+13,19260808,assumed_shape,JA70003000,,1963624,304362.018,2601.1885,,
1019,,1926,Lightning,1926-1019,231.8,linens,,2.00705E+13,19260823,digitised,JA70003000,,1963625,2318505.396,6630.8872,,
1023,,1926,Person,1926-1023,47.4,linens,,2.00705E+13,19260824,digitised,JA70003000,,1963626,474517.361,2931.3644,,
1028,,1926,Lightning,1926-1028,55.2,linens,,2.00705E+13,19260720,digitised,JA70003000,,1963627,552783.3185,3158.2272,,
168,,1926,Person,1926-168,8.7,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963696,87894.9633,1149.8411,,
169,,1926,Person,1926-169,7019.7,linens,,2.00705E+13,19260712,assumed_shape,JA70003000,,1963697,70197419.38,64604.1394,,
17,,1926,Person,1926-17,133.7,linens,,2.00705E+13,19260510,digitised,JA70003000,,1963698,1337546.943,4736.2103,,
174,,1926,Person,1926-174,6279.1,linens,,2.00705E+13,19260527,digitised,JA70003000,,1963699,62791773.15,36880.4007,,
192,,1926,Person,1926-192,3.7,linens,,2.00705E+13,19260817,digitised,JA70003000,,1963700,37327.1105,732.0675,,
2,,1926,Person,Feb-26,473.5,linens,,2.00705E+13,19260510,digitised,JA70003000,,1963701,4735599.129,18349.2568,,
20,,1926,Person,1926-20,6.8,linens,,2.00705E+13,19260329,digitised,JA70003000,,1963702,68288.0557,1041.4441,,
20,,1926,Person,1926-20,14.7,linens,,2.00705E+13,19260329,digitised,JA70003000,,1963703,147933.7253,1443.8922,,
20,,1926,Person,1926-20,59.7,linens,,2.00705E+13,19260329,digitised,JA70003000,,1963704,597668.387,4006.2751,,
44,,1926,Person,1926-44,41.4,linens,,2.00705E+13,19260428,digitised,JA70003000,,1963788,414366.6587,2569.8596,,
444,,1926,Person,1926-444,24.1,linens,,2.00705E+13,19260920,digitised,JA70003000,,1963789,241656.6597,1843.0575,,
449,,1926,Person,1926-449,34,linens,,2.00705E+13,19260924,digitised,JA70003000,,1963790,340724.2314,2170.3589,,
450,,1926,Person,1926-450,220.4,linens,,2.00705E+13,19260711,digitised,JA70003000,,1963791,2204536.612,9103.8659,,
452,,1926,Person,1926-452,97,linens,,2.00705E+13,19260921,digitised,JA70003000,,1963792,970357.7336,4410.5062,,
455,,1926,Lightning,1926-455,9981,linens,,2.00705E+13,19260710,digitised,JA70003000,,1963793,99810756.86,45986.2376,,
822a,,1925,Lightning,1925-822a,970.3,linens,,2.00705E+13,19250811,digitised,JA70003000,,1963544,9703739.75,18089.1217,,
824,,1925,Person,1925-824,63.4,linens,,2.00705E+13,19250813,digitised,JA70003000,,1963545,634476.6847,3624.8376,,
827,,1925,Lightning,1925-827,397.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1963546,3979553.47,10306.5473,,
83,,1925,Lightning,1925-83,2390.8,linens,,2.00705E+13,19250802,digitised,JA70003000,,1963547,23908950.28,23457.5996,,
103,,1926,Person,1926-103,76.5,linens,,2.00705E+13,19260806,digitised,JA70003000,,1963628,765866.364,5213.7167,,
1031,,1926,Lightning,1926-1031,23,linens,,2.00705E+13,19260801,digitised,JA70003000,,1963629,230599.358,1819.4475,,
1032,,1926,Lightning,1926-1032,101.4,linens,,2.00705E+13,19260806,digitised,JA70003000,,1963630,1014495.805,3736.879,,
104,,1926,Person,1926-104,8864.6,linens,,2.00705E+13,19260730,digitised,JA70003000,,1963631,88646930.58,39512.8778,,
106,,1926,Person,1926-106,94.6,linens,,2.00705E+13,19260810,assumed_shape,JA70003000,,1963632,946341.6166,4022.7088,,
20,,1926,Person,1926-20,43.1,linens,,2.00705E+13,19260412,digitised,JA70003000,,1963705,431928.1163,2509.1274,,
205,,1926,Person,1926-205,492.8,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963706,4928084.057,10193.8719,,
209,,1926,Person,1926-209,82.4,linens,,2.00705E+13,19260603,digitised,JA70003000,,1963707,824854.82,4336.841,,
21,,1926,Person,1926-21,15.7,linens,,2.00705E+13,19260401,digitised,JA70003000,,1963708,157947.6982,1666.4612,,
21,,1926,Person,1926-21,53.4,linens,,2.00705E+13,19260414,digitised,JA70003000,,1963709,534836.6548,3171.2249,,
458,,1926,Lightning,1926-458,2069.3,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963794,20693267.09,21035.0478,,
45a,,1926,Person,1926-45a,21.9,linens,,2.00705E+13,19260427,digitised,JA70003000,,1963795,219061.0217,1859.0959,,
46,,1926,Person,1926-46,86.7,linens,,2.00705E+13,19260427,digitised,JA70003000,,1963796,867168.2527,4600.9717,,
460,,1926,Person,1926-460,8.4,linens,,2.00705E+13,19260920,digitised,JA70003000,,1963797,84827.7959,1305.9472,,
462,,1926,Lightning,1926-462,4512.3,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963798,45123181.56,31302.4468,,
465,,1926,Lightning,1926-465,42,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963799,420656.7235,2422.1929,,
466,,1926,Person,1926-466,20.7,linens,,2.00705E+13,19260924,assumed_shape,JA70003000,,1963800,207148.1968,1616.0419,,
830,,1925,Person,1925-830,834.9,linens,,2.00705E+13,19250808,digitised,JA70003000,,1963548,8349665.925,11548.2829,,
832,,1925,Lightning,1925-832,878.6,linens,,2.00705E+13,19250814,assumed_shape,JA70003000,,1963549,8786804.164,11190.5357,,
833,,1925,Lightning,1925-833,62.9,linens,,2.00705E+13,19250724,digitised,JA70003000,,1963550,629803.5396,3378.1632,,
834,,1925,Lightning,1925-834,1293.3,linens,,2.00705E+13,19250717,assumed_shape,JA70003000,,1963551,12933799.88,19131.5912,,
837,,1925,Lightning,1925-837,79.8,linens,,2.00705E+13,19250728,digitised,JA70003000,,1963552,798344.9603,3641.0959,,
1063,,1926,Lightning,1926-1063,189.6,linens,,2.00705E+13,19260814,digitised,JA70003000,,1963633,1896933.889,6402.4445,,
1064,,1926,Lightning,1926-1064,87.8,linens,,2.00705E+13,19260814,assumed_shape,JA70003000,,1963634,878222.1809,4097.6441,,
107,,1926,Person,1926-107,61.2,linens,,2.00705E+13,19260430,assumed_shape,JA70003000,,1963635,612875.8449,3354.1343,,
211,,1926,Person,1926-211,1821.2,linens,,2.00705E+13,19260608,digitised,JA70003000,,1963710,18212321.29,21279.9625,,
212,,1926,Person,1926-212,66.9,linens,,2.00705E+13,19260607,digitised,JA70003000,,1963711,669873.2361,6431.5031,,
216,,1926,Person,1926-216,169.4,linens,,2.00705E+13,19260718,assumed_shape,JA70003000,,1963712,1694481.312,5743.1755,,
219,,1926,Person,1926-219,80.9,linens,,2.00705E+13,19260608,assumed_shape,JA70003000,,1963713,809907.9438,3320.6029,,
467a,,1926,Person,1926-467a,33,linens,,2.00705E+13,19260819,digitised,JA70003000,,1963801,330544.1055,2228.5258,,
469,,1926,Person,1926-469,192.8,linens,,2.00705E+13,19260927,assumed_shape,JA70003000,,1963802,1928417.316,4928.9926,,
47,,1926,Person,1926-47,12.6,linens,,2.00705E+13,19260426,assumed_shape,JA70003000,,1963803,126005.4572,1286.7487,,
47,,1926,Person,1926-47,160.6,linens,,2.00705E+13,19260810,assumed_shape,JA70003000,,1963804,1606630.274,5019.6768,,
472,,1926,Person,1926-472,85.1,linens,,2.00705E+13,19260927,digitised,JA70003000,,1963805,851611.6532,3363.3821,,
473,,1926,Person,1926-473,121.1,linens,,2.00705E+13,19260921,digitised,JA70003000,,1963806,1211520.358,5993.6917,,
838,,1925,Lightning,1925-838,1179.6,linens,,2.00705E+13,19250728,digitised,JA70003000,,1963553,11796311.82,12633.3461,,
84,,1925,Person,1925-84,4457.2,linens,,2.00705E+13,19250708,digitised,JA70003000,,1963554,44572329.77,31914.4586,,
843,,1925,Lightning,1925-843,2819.1,linens,,2.00705E+13,19250806,digitised,JA70003000,,1963555,28191581.47,29387.9827,,
108a,,1926,Person,1926-108a,623.6,linens,,2.00705E+13,19260807,digitised,JA70003000,,1963636,6236562.888,18042.8421,,
110,,1926,Person,1926-110,15.9,linens,,2.00705E+13,19260810,assumed_shape,JA70003000,,1963637,159749.6333,1925.8534,,
1118,,1926,Lightning,1926-1118,88.1,linens,,2.00705E+13,19260712,digitised,JA70003000,,1963638,881061.6965,3928.3563,,
112,,1926,Person,1926-112,6.3,linens,,2.00705E+13,19260813,digitised,JA70003000,,1963639,63582.679,960.1466,,
114,,1926,Lightning,1926-114,278.8,linens,,2.00705E+13,19260706,digitised,JA70003000,,1963640,2788502.666,7655.7167,,
114a,,1926,Person,1926-114a,8.6,linens,,2.00705E+13,19260808,assumed_shape,JA70003000,,1963641,86893.0439,1135.2231,,
21a,,1926,Person,1926-21a,50.8,linens,,2.00705E+13,19260511,digitised,JA70003000,,1963714,508474.4688,5084.7596,,
22,,1926,Person,1926-22,65.5,linens,,2.00705E+13,19260503,digitised,JA70003000,,1963715,655385.3843,6662.083,,
22,,1926,Person,1926-22,13.2,linens,,2.00705E+13,19260503,digitised,JA70003000,,1963716,132088.1732,1355.3052,,
