"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-01","2021","01","01","","2.2","","-1.0","","0.6","","17.4","","0.0","","","","","","5.1","","","","16","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-02","2021","01","02","","5.2","","2.1","","3.7","","14.3","","0.0","","","","","","2.6","","","","17","","65",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-03","2021","01","03","","4.4","","-0.8","","1.8","","16.2","","0.0","","","","","","1.1","","","","17","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-04","2021","01","04","","2.1","","0.0","","1.1","","16.9","","0.0","","","","","","14.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-05","2021","01","05","","2.8","","-0.2","","1.3","","16.7","","0.0","","","","","","11.6","","","","15","","45",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-06","2021","01","06","","3.9","","1.0","","2.5","","15.5","","0.0","","","","","","3.1","","","","17","","58",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-07","2021","01","07","","2.1","","0.0","","1.1","","16.9","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-08","2021","01","08","","1.7","","-2.5","","-0.4","","18.4","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-09","2021","01","09","","0.8","","-2.0","","-0.6","","18.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-10","2021","01","10","","1.5","","-1.7","","-0.1","","18.1","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-11","2021","01","11","","3.2","","0.5","","1.9","","16.1","","0.0","","","","","","1.0","","","","13","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-12","2021","01","12","","3.7","","0.9","","2.3","","15.7","","0.0","","","","","","5.4","","","","16","","45",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-13","2021","01","13","","7.1","","0.7","","3.9","","14.1","","0.0","","","","","","16.5","","","","36","","63",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-14","2021","01","14","","3.3","","-4.3","","-0.5","","18.5","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-15","2021","01","15","","2.4","","-1.2","","0.6","","17.4","","0.0","","","","","","0.2","","","","13","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-16","2021","01","16","","1.7","","-1.7","","0.0","","18.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-17","2021","01","17","","1.2","","-1.5","","-0.2","","18.2","","0.0","","","","","","4.7","","","","16","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-18","2021","01","18","","3.1","","-0.4","","1.4","","16.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-19","2021","01","19","","1.1","","-1.9","","-0.4","","18.4","","0.0","","","","","","0.2","","","","17","","54",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-20","2021","01","20","","1.8","","-5.0","","-1.6","","19.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-21","2021","01","21","","-0.3","","-9.1","","-4.7","","22.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-22","2021","01","22","","-2.9","","-11.7","","-7.3","","25.3","","0.0","","","","","","0.0","","","","1","","39",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-23","2021","01","23","","-3.6","","-10.5","","-7.1","","25.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-24","2021","01","24","","-3.3","","-5.9","","-4.6","","22.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-25","2021","01","25","","-2.2","","-7.5","","-4.9","","22.9","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-26","2021","01","26","","-1.0","","-5.6","","-3.3","","21.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-27","2021","01","27","","-2.3","","-4.9","","-3.6","","21.6","","0.0","","","","","","0.4","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-28","2021","01","28","","-1.3","","-3.8","","-2.6","","20.6","","0.0","","","","","","2.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-29","2021","01","29","","-0.2","","-5.6","","-2.9","","20.9","","0.0","","","","","","5.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-30","2021","01","30","","","M","","M","","M","","M","","M","","","","","1.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-01-31","2021","01","31","","1.5","","-0.8","","0.4","","17.6","","0.0","","","","","","20.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-01","2021","02","01","","1.4","","0.1","","0.8","","17.2","","0.0","","","","","","41.3","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-02","2021","02","02","","6.9","","0.0","","3.5","","14.5","","0.0","","","","","","15.8","","","","21","","58",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-03","2021","02","03","","5.8","","-1.3","","2.3","","15.7","","0.0","","","","","","0.2","","","","1","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-04","2021","02","04","","0.5","","-2.5","","-1.0","","19.0","","0.0","","","","","","1.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-05","2021","02","05","","5.3","","-3.0","","1.2","","16.8","","0.0","","","","","","4.5","","","","1","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-06","2021","02","06","","2.2","","-2.6","","-0.2","","18.2","","0.0","","","","","","4.7","","","","35","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-07","2021","02","07","","-1.0","","-7.9","","-4.5","","22.5","","0.0","","","","","","0.0","","","","33","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-08","2021","02","08","","-5.3","","-11.9","","-8.6","","26.6","","0.0","","","","","","0.0","","","","2","","39",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-09","2021","02","09","","-8.8","","-18.8","","-13.8","","31.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-10","2021","02","10","","-8.7","","-15.2","","-12.0","","30.0","","0.0","","","","","","0.0","","","","32","","45",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-11","2021","02","11","","-9.4","","-19.4","","-14.4","","32.4","","0.0","","","","","","0.0","","","","32","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-12","2021","02","12","","-8.0","","-20.5","","-14.3","","32.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-13","2021","02","13","","-6.5","","-19.1","","-12.8","","30.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-14","2021","02","14","","-4.1","","-13.4","","-8.8","","26.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-15","2021","02","15","","-3.1","","-13.5","","-8.3","","26.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-16","2021","02","16","","-1.6","","-7.0","","-4.3","","22.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-17","2021","02","17","","2.7","","-7.0","","-2.2","","20.2","","0.0","","","","","","0.4","","","","28","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-18","2021","02","18","","-1.8","","-13.0","","-7.4","","25.4","","0.0","","","","","","0.2","","","","15","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-19","2021","02","19","","-1.3","","-4.1","","-2.7","","20.7","","0.0","","","","","","6.6","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-20","2021","02","20","","1.7","","-2.5","","-0.4","","18.4","","0.0","","","","","","2.5","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-21","2021","02","21","","3.3","","-0.4","","1.5","","16.5","","0.0","","","","","","4.3","","","","19","","59",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-22","2021","02","22","","4.8","","0.7","","2.8","","15.2","","0.0","","","","","","6.5","","","","28","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-23","2021","02","23","","4.3","","-4.1","","0.1","","17.9","","0.0","","","","","","0.2","","","","1","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-24","2021","02","24","","2.9","","-7.2","","-2.2","","20.2","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-25","2021","02","25","","1.2","","-3.9","","-1.4","","19.4","","0.0","","","","","","1.4","","","","16","","54",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-26","2021","02","26","","4.9","","-1.1","","1.9","","16.1","","0.0","","","","","","1.5","","","","34","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-27","2021","02","27","","3.9","","-2.0","","1.0","","17.0","","0.0","","","","","","0.0","","","","36","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-02-28","2021","02","28","","1.9","","-2.3","","-0.2","","18.2","","0.0","","","","","","0.0","","","","15","","39",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-01","2021","03","01","","4.3","","-1.7","","1.3","","16.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-02","2021","03","02","","5.1","","-1.4","","1.9","","16.1","","0.0","","","","","","0.5","","","","33","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-03","2021","03","03","","7.3","","-1.8","","2.8","","15.2","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-04","2021","03","04","","5.0","","-5.5","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-05","2021","03","05","","3.4","","-1.8","","0.8","","17.2","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-06","2021","03","06","","6.7","","-0.2","","3.3","","14.7","","0.0","","","","","","5.4","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-07","2021","03","07","","5.2","","-0.9","","2.2","","15.8","","0.0","","","","","","2.9","","","","17","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-08","2021","03","08","","6.8","","-2.8","","2.0","","16.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-09","2021","03","09","","4.6","","-6.5","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-10","2021","03","10","","5.8","","-2.6","","1.6","","16.4","","0.0","","","","","","0.7","","","","31","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-11","2021","03","11","","6.0","","-6.5","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-12","2021","03","12","","8.0","","-4.5","","1.8","","16.2","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-13","2021","03","13","","8.1","","-4.3","","1.9","","16.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-14","2021","03","14","","7.4","","-4.7","","1.4","","16.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-15","2021","03","15","","8.4","","1.0","","4.7","","13.3","","0.0","","","","","","0.2","","","","33","","61",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-16","2021","03","16","","11.2","","-2.3","","4.5","","13.5","","0.0","","","","","","0.0","","","","36","","33",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-17","2021","03","17","","10.6","","-4.0","","3.3","","14.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-18","2021","03","18","","9.5","","-2.8","","3.4","","14.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-19","2021","03","19","","11.5","","1.6","","6.6","","11.4","","0.0","","","","","","1.6","","","","2","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-20","2021","03","20","","6.7","","1.4","","4.1","","13.9","","0.0","","","","","","4.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-21","2021","03","21","","5.3","","1.5","","3.4","","14.6","","0.0","","","","","","2.9","","","","19","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-22","2021","03","22","","10.0","","-0.3","","4.9","","13.1","","0.0","","","","","","2.1","","","","18","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-23","2021","03","23","","8.8","","-3.8","","2.5","","15.5","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-24","2021","03","24","","7.3","","0.2","","3.8","","14.2","","0.0","","","","","","6.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-25","2021","03","25","","10.8","","0.8","","5.8","","12.2","","0.0","","","","","","4.4","","","","31","","52",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-26","2021","03","26","","9.1","","-1.3","","3.9","","14.1","","0.0","","","","","","0.0","","","","2","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-27","2021","03","27","","11.2","","1.6","","6.4","","11.6","","0.0","","","","","","1.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-28","2021","03","28","","7.5","","3.2","","5.4","","12.6","","0.0","","","","","","9.1","","","","36","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-29","2021","03","29","","6.2","","-0.4","","2.9","","15.1","","0.0","","","","","","0.0","","","","33","","65",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-30","2021","03","30","","7.8","","-3.4","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-03-31","2021","03","31","","13.8","","0.1","","7.0","","11.0","","0.0","","","","","","0.0","","","","17","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-01","2021","04","01","","11.1","","-0.1","","5.5","","12.5","","0.0","","","","","","0.0","","","","16","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-02","2021","04","02","","10.7","","-2.1","","4.3","","13.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-03","2021","04","03","","11.2","","-0.1","","5.6","","12.4","","0.0","","","","","","1.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-04","2021","04","04","","9.8","","-0.4","","4.7","","13.3","","0.0","","","","","","1.6","","","","35","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-05","2021","04","05","","13.6","","-3.3","","5.2","","12.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-06","2021","04","06","","15.6","","-2.9","","6.4","","11.6","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-07","2021","04","07","","8.6","","1.7","","5.2","","12.8","","0.0","","","","","","0.2","","","","18","","61",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-08","2021","04","08","","10.8","","1.0","","5.9","","12.1","","0.0","","","","","","1.0","","","","32","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-09","2021","04","09","","3.1","","-1.7","","0.7","","17.3","","0.0","","","","","","1.1","","","","17","","52",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-10","2021","04","10","","8.4","","-0.1","","4.2","","13.8","","0.0","","","","","","2.1","","","","26","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-11","2021","04","11","","10.6","","-4.0","","3.3","","14.7","","0.0","","","","","","0.0","","","","34","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-12","2021","04","12","","13.3","","-2.5","","5.4","","12.6","","0.0","","","","","","0.0","","","","30","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-13","2021","04","13","","15.5","","-2.9","","6.3","","11.7","","0.0","","","","","","0.0","","","","30","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-14","2021","04","14","","19.9","","-0.4","","9.8","","8.2","","0.0","","","","","","0.0","","","","31","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-15","2021","04","15","","22.9","","-0.8","","11.1","","6.9","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-16","2021","04","16","","23.7","","-0.3","","11.7","","6.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-17","2021","04","17","","23.7","","0.4","","12.1","","5.9","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-18","2021","04","18","","14.1","","0.4","","7.3","","10.7","","0.0","","","","","","0.0","","","","36","","68",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-19","2021","04","19","","17.1","","-3.1","","7.0","","11.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-20","2021","04","20","","19.4","","-2.2","","8.6","","9.4","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-21","2021","04","21","","20.8","","-1.0","","9.9","","8.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-22","2021","04","22","","14.6","","-0.1","","7.3","","10.7","","0.0","","","","","","0.0","","","","32","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-23","2021","04","23","","16.7","","-1.2","","7.8","","10.2","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-24","2021","04","24","","16.8","","-1.9","","7.5","","10.5","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-25","2021","04","25","","15.0","","3.2","","9.1","","8.9","","0.0","","","","","","0.0","","","","33","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-26","2021","04","26","","19.1","","2.8","","11.0","","7.0","","0.0","","","","","","0.0","","","","30","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-27","2021","04","27","","15.9","","0.6","","8.3","","9.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-28","2021","04","28","","14.8","","5.9","","10.4","","7.6","","0.0","","","","","","0.2","","","","1","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-29","2021","04","29","","13.6","","6.5","","10.1","","7.9","","0.0","","","","","","3.5","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-04-30","2021","04","30","","17.0","","7.5","","12.3","","5.7","","0.0","","","","","","0.6","","","","18","","58",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-01","2021","05","01","","13.9","","2.2","","8.1","","9.9","","0.0","","","","","","0.2","","","","33","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-02","2021","05","02","","19.4","","0.0","","9.7","","8.3","","0.0","","","","","","0.0","","","","33","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-03","2021","05","03","","14.4","","0.6","","7.5","","10.5","","0.0","","","","","","0.0","","","","36","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-04","2021","05","04","","17.1","","4.9","","11.0","","7.0","","0.0","","","","","","1.0","","","","22","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-05","2021","05","05","","20.5","","0.4","","10.5","","7.5","","0.0","","","","","","0.0","","","","17","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-06","2021","05","06","","20.4","","2.9","","11.7","","6.3","","0.0","","","","","","0.2","","","","15","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-07","2021","05","07","","13.8","","7.7","","10.8","","7.2","","0.0","","","","","","1.4","","","","31","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-08","2021","05","08","","17.0","","4.8","","10.9","","7.1","","0.0","","","","","","0.0","","","","36","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-09","2021","05","09","","20.0","","0.2","","10.1","","7.9","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-10","2021","05","10","","19.0","","0.4","","9.7","","8.3","","0.0","","","","","","0.2","","","","32","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-11","2021","05","11","","21.6","","1.4","","11.5","","6.5","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-12","2021","05","12","","17.1","","2.2","","9.7","","8.3","","0.0","","","","","","0.0","","","","17","","33",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-13","2021","05","13","","22.1","","5.7","","13.9","","4.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-14","2021","05","14","","25.6","","3.0","","14.3","","3.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-15","2021","05","15","","27.2","","5.4","","16.3","","1.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-16","2021","05","16","","28.6","","6.6","","17.6","","0.4","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-17","2021","05","17","","21.1","","7.4","","14.3","","3.7","","0.0","","","","","","1.1","","","","35","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-18","2021","05","18","","14.6","","3.7","","9.2","","8.8","","0.0","","","","","","14.3","","","","15","","52",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-19","2021","05","19","","15.7","","2.8","","9.3","","8.7","","0.0","","","","","","0.0","","","","33","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-20","2021","05","20","","18.2","","2.3","","10.3","","7.7","","0.0","","","","","","0.0","","","","32","","39",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-21","2021","05","21","","21.5","","0.6","","11.1","","6.9","","0.0","","","","","","0.0","","","","32","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-22","2021","05","22","","24.7","","4.6","","14.7","","3.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-23","2021","05","23","","18.5","","3.9","","11.2","","6.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-24","2021","05","24","","14.3","","9.0","","11.7","","6.3","","0.0","","","","","","10.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-25","2021","05","25","","17.9","","9.0","","13.5","","4.5","","0.0","","","","","","7.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-26","2021","05","26","","21.7","","9.4","","15.6","","2.4","","0.0","","","","","","1.7","","","","17","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-27","2021","05","27","","16.5","","7.3","","11.9","","6.1","","0.0","","","","","","3.7","","","","2","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-28","2021","05","28","","14.6","","5.7","","10.2","","7.8","","0.0","","","","","","14.5","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-29","2021","05","29","","21.0","","5.4","","13.2","","4.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-30","2021","05","30","","25.7","","4.3","","15.0","","3.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-05-31","2021","05","31","","28.9","","6.9","","17.9","","0.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-01","2021","06","01","","30.9","","12.3","","21.6","","0.0","","3.6","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-02","2021","06","02","","32.7","","10.3","","21.5","","0.0","","3.5","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-03","2021","06","03","","29.3","","10.0","","19.7","","0.0","","1.7","","","","","","0.0","","","","1","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-04","2021","06","04","","27.1","","9.4","","18.3","","0.0","","0.3","","","","","","0.0","","","","25","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-05","2021","06","05","","19.4","","9.4","","14.4","","3.6","","0.0","","","","","","8.9","","","","35","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-06","2021","06","06","","16.7","","8.1","","12.4","","5.6","","0.0","","","","","","1.5","","","","18","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-07","2021","06","07","","16.3","","7.3","","11.8","","6.2","","0.0","","","","","","0.2","","","","17","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-08","2021","06","08","","22.9","","4.3","","13.6","","4.4","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-09","2021","06","09","","15.4","","7.0","","11.2","","6.8","","0.0","","","","","","3.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-10","2021","06","10","","21.4","","7.4","","14.4","","3.6","","0.0","","","","","","0.2","","","","27","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-11","2021","06","11","","17.9","","5.3","","11.6","","6.4","","0.0","","","","","","0.0","","","","17","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2021-06-12","2021","06","12","","22.2","","9.5","","15.9","","2.1","","0.0","","","","","","1.7","","","","","M","","M"
